"","checklist_id","global_unique_identifier","last_edited_date","taxonomic_order","category","common_name","scientific_name","observation_count","breeding_bird_atlas_code","breeding_bird_atlas_category","age_sex","country","country_code","state","state_code","county","county_code","iba_code","bcr_code","usfws_code","atlas_block","locality","locality_id","locality_type","latitude","longitude","observation_date","time_observations_started","observer_id","sampling_event_identifier","protocol_type","protocol_code","project_code","duration_minutes","effort_distance_km","effort_area_ha","number_observers","all_species_reported","group_identifier","has_media","approved","reviewed","reason","trip_comments","species_comments"
"1","S20442010","URN:CornellLabOfOrnithology:EBIRD:OBS279336899","2021-03-31 16:00:17.328834",12309,"species","Kawall's Parrot","Amazona kawalli","20",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Rio Madeira Manicore","L3148507","P",-5.8139979,-61.2995911,2003-07-23,NA,"obsr412831","S20442010","Historical","P62","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,"With Bret Whitney et al.  Morning approx. 10 km E of town; afternoon on Rio Manicore",NA
"2","S20445385","URN:CornellLabOfOrnithology:EBIRD:OBS279384089","2021-02-22 10:03:22.568356",12309,"species","Kawall's Parrot","Amazona kawalli","6",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Rio Madeira, Rio Aripuana, Nova Olinda","L3148610","P",-5.3880675,-60.4165649,2003-07-26,NA,"obsr412831","S20445385","Historical","P62","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,"With Bret Whitney et al.  West bank of Rio Aripuana (terre firme, secondary and tall forest, pm in varzea).",NA
"3","S20442499","URN:CornellLabOfOrnithology:EBIRD:OBS279343647","2021-02-22 10:03:22.474482",12309,"species","Kawall's Parrot","Amazona kawalli","4",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Rio Madeira Manicore","L3148507","P",-5.8139979,-61.2995911,2003-07-24,NA,"obsr412831","S20442499","Historical","P62","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,"With Bret Whitney et al., morning Rio Manicore (N or right bank) terra firme, second growth, milpas.  Esti Rao.  Afternoon on Madeira moving downstream.",NA
"4","S20441530","URN:CornellLabOfOrnithology:EBIRD:OBS279330246","2021-02-22 10:03:22.410536",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Rio Madeira Vista Nova, Rio Marmelos","L3148364","P",-6.1387228,-61.8166351,2003-07-22,NA,"obsr412831","S20441530","Historical","P62","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,"With Bret Whitney, et al., morning in terra firme on Rio Marmelos, afternoon downstream on Rio Madeira stopping at Ilha Nova.  East bank locations.",NA
"5","S20441089","URN:CornellLabOfOrnithology:EBIRD:OBS279324262","2020-06-11 16:40:06",12309,"species","Kawall's Parrot","Amazona kawalli","3",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Rio Madeira Vista Nova, Rio Marmelos","L3148364","P",-6.1387228,-61.8166351,2003-07-21,NA,"obsr412831","S20441089","Historical","P62","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,"With Bret Whitney, et al., E bank of Madeira and E bank of Rio Marmelos.",NA
"6","S21203725","URN:CornellLabOfOrnithology:EBIRD:OBS289245379","2021-02-22 10:01:08.562177",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Rio Juruá--Bauana Ecological Field Station","L1931706","H",-5.43862,-67.28658,2007-12-02,NA,"obsr419927","S21203725","Historical","P62","EBIRD",NA,NA,NA,NA,FALSE,NA,FALSE,TRUE,FALSE,NA,"with Andy Whitaker",NA
"7","S18054455","URN:CornellLabOfOrnithology:EBIRD:OBS247878775","2020-05-30 09:27:42",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-10-31,"06:05:00","obsr412230","S18054455","Traveling","P22","EBIRD_CAN",720,17,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide). Birds recorded during morning and afternoon. Morning: trilha da Madeirinha on the right bank of the Madeirinha river. Afternoon: river trip downstream on the Roosevelt to see Perneta, an impressive Black Caiman which comes for handouts. Light rain prior to departure (from 04h30 to 05h50), and again in mid-afternoon (15h15 to 16h25).","tape recorded on Madeirinha trail"
"8","S65119102","URN:CornellLabOfOrnithology:EBIRD:OBS870730495","2020-02-26 15:40:07",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt (-8.4943, -60.9623)","L10615329","P",-8.4943,-60.9623,2008-10-31,NA,"obsr412230","S65119102","Historical","P62","EBIRD",NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,"Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Pousada Rio Roosevelt (-8.4943, -60.9623).",NA
"9","S18297644","URN:CornellLabOfOrnithology:EBIRD:OBS251925437","2020-09-03 10:17:20",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-11-04,"05:30:00","obsr412230","S18297644","Incidental","P20","EBIRD",NA,NA,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide). Left by 05h30 for the Trilha do Ouro, on the left bank of the Roosevelt at the head of the Cachoeira da Gloria. Very hot and humid, and things were mostly quiet but it was still quite productive overall -- back a little earlier than other days (to the lodge by 12h00). After lunch I had a sit-in waiting for the weather to decide one way or the other. The rain held off, so I ventured onto the trail I dubbed ""5k"". Back by 18h00.","common by voice"
"10","S18252886","URN:CornellLabOfOrnithology:EBIRD:OBS251151248","2020-09-03 10:20:36",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-11-01,"05:35:00","obsr412230","S18252886","Traveling","P22","EBIRD_CAN",745,15,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide). Left at 05h35 for the Perneta trail, roughly 20 minutes downstream from the pousada on the right/east bank of the Roosevelt. The trail is about 1.5 km total and it makes a loop through wonderful vine and heliconia forest. We birded here until mid-day, stopping briefly at a saleiro on the way back. After lunch, left again at 15h35 for the Jacamin trail a short ways downstream on the right bank. We cut this trail short since it looked like it was going to rain, and spent the final 45 minutes of light checking out the scrubby rock and sand-bars.","HO"
