ID registro,datasetKey_global_unique_identifier,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,Mes,Fecha,basisOfRecord,Leyenda,institutionCode,collectionCode,catalogNumber,recordNumber,rightsHolder,recordedBy
2999034706,50c9509d-22c7-4a22-a47d-8c48425ef4a7,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,,Pará,-6.932529,-52.376658,2019-12-23T04:48:00,diciembre,23/12/19,HUMAN_OBSERVATION,Espécimen multimedia,iNaturalist,Observations,66126978,,Anderson Sandro,Anderson Sandro
2565041185,b84edffc-c606-47c7-813f-feed4f761e06,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"margemdireitaRioTapajós,ComunidadeSãoMartim",Pará,,,2012-10-07T00:00:00,octubre,7/10/12,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,,MPEG.TEO 0018500,,Museu Paraense Emílio Goeldi (MPEG),"Thom,  G.; Batista,  R.; Monte,  A.; Brígida,  J.N."
2565041181,b84edffc-c606-47c7-813f-feed4f761e06,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"margemdireitaRioTapajós,ComunidadeSãoMartim",Pará,,,2012-10-07T00:00:00,octubre,7/10/12,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,,MPEG.TEO 0018501,,Museu Paraense Emílio Goeldi (MPEG),"Thom,  G.; Batista,  R.; Monte,  A.; Brígida,  J.N."
2565041175,b84edffc-c606-47c7-813f-feed4f761e06,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"margemdireitaRioTapajós,ComunidadeSãoMartim",Pará,,,2012-10-07T00:00:00,octubre,7/10/12,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,,MPEG.TEO 0018502,,Museu Paraense Emílio Goeldi (MPEG),"Thom,  G.; Batista,  R.; Monte,  A.; Brígida,  J.N."
2565036318,b84edffc-c606-47c7-813f-feed4f761e06,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"FLONAdoCrepori,RiodasTropas,Cotovelo",Pará,,,2008-04-29T00:00:00,abril,29/04/08,PRESERVED_SPECIMEN,Espécimen físico o tejido,MPEG,,MPEG.TEO 0010854,,Museu Paraense Emílio Goeldi (MPEG),"Santos,  M.P.D.; Brígida,  J.N.S."
2432453659,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Cristalino Jungle Lodge, MT",,-9.5981,-55.932,2005-07-27T00:00:00,julio,27/07/05,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC86615,,Alexander Lees,Alexander Lees
2432440546,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Rio Tapajós,Apuí,Amazonas",,-6.97,-58.39,2008-03-12T00:00:00,marzo,12/03/08,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC486830,,Dante Buzzetti,Dante Buzzetti
2251018415,040c5662-da76-4782-a48e-cdea1892d14c,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,UNRANKED,BOLD:AAE1942,BOLD:AAE1942,,BR,Jacareacanga,Para,,,,,,MATERIAL_SAMPLE,Espécimen físico o tejido,,,,,Barcode of Life Datasystems,
2249775991,040c5662-da76-4782-a48e-cdea1892d14c,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,,,,,,,,,MATERIAL_SAMPLE,Espécimen físico o tejido,,,FMNH 45643,,Barcode of Life Datasystems,
2249775961,040c5662-da76-4782-a48e-cdea1892d14c,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,,,,,,,,,MATERIAL_SAMPLE,Espécimen físico o tejido,,,FMNH 45642,,Barcode of Life Datasystems,
2249769777,040c5662-da76-4782-a48e-cdea1892d14c,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,,,,,,,,,MATERIAL_SAMPLE,Espécimen físico o tejido,,,,,Barcode of Life Datasystems,
2243871305,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Cristalino Jungle Lodge, MT",,-9.5981,-55.932,2004-06-24T00:00:00,junio,24/06/04,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC67587,,Frank Lambert,Frank Lambert
2243817624,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Tupana lodge, Amazonas",,-4.067,-60.6598,2009-07-12T00:00:00,julio,12/07/09,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC42892,,Olivier Claessens,Olivier Claessens
2243816535,b1047888-ae52-4179-9dd5-5448ea342a24,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona kawalli,,SPECIES,"Amazona kawalli Grantsau & Camargo, 1989",Amazona kawalli,,BR,"Tupana lodge, Amazonas",,-4.067,-60.6598,2009-07-12T00:00:00,julio,12/07/09,HUMAN_OBSERVATION,Espécimen multimedia,xeno-canto,Bird sounds,XC42893,,Olivier Claessens,Olivier Claessens
