GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS279336899	2021-03-31 16:00:17.328834	12309	species	Kawall's Parrot	Amazona kawalli			20				Brazil	BR	Amazonas	BR-AM							Rio Madeira Manicore	L3148507	P	-5.8139979	-61.2995911	2003-07-23		obsr412831	S20442010	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney et al.  Morning approx. 10 km E of town; afternoon on Rio Manicore		
URN:CornellLabOfOrnithology:EBIRD:OBS279384089	2021-02-22 10:03:22.568356	12309	species	Kawall's Parrot	Amazona kawalli			6				Brazil	BR	Amazonas	BR-AM							Rio Madeira, Rio Aripuana, Nova Olinda	L3148610	P	-5.3880675	-60.4165649	2003-07-26		obsr412831	S20445385	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney et al.  West bank of Rio Aripuana (terre firme, secondary and tall forest, pm in varzea).		
URN:CornellLabOfOrnithology:EBIRD:OBS279343647	2021-02-22 10:03:22.474482	12309	species	Kawall's Parrot	Amazona kawalli			4				Brazil	BR	Amazonas	BR-AM							Rio Madeira Manicore	L3148507	P	-5.8139979	-61.2995911	2003-07-24		obsr412831	S20442499	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney et al., morning Rio Manicore (N or right bank) terra firme, second growth, milpas.  Esti Rao.  Afternoon on Madeira moving downstream.		
URN:CornellLabOfOrnithology:EBIRD:OBS279330246	2021-02-22 10:03:22.410536	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Rio Madeira Vista Nova, Rio Marmelos	L3148364	P	-6.1387228	-61.8166351	2003-07-22		obsr412831	S20441530	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney, et al., morning in terra firme on Rio Marmelos, afternoon downstream on Rio Madeira stopping at Ilha Nova.  East bank locations.		
URN:CornellLabOfOrnithology:EBIRD:OBS279324262	2020-06-11 16:40:06	12309	species	Kawall's Parrot	Amazona kawalli			3				Brazil	BR	Amazonas	BR-AM							Rio Madeira Vista Nova, Rio Marmelos	L3148364	P	-6.1387228	-61.8166351	2003-07-21		obsr412831	S20441089	Historical	P62	EBIRD					1		0	1	0		With Bret Whitney, et al., E bank of Madeira and E bank of Rio Marmelos.		
URN:CornellLabOfOrnithology:EBIRD:OBS289245379	2021-02-22 10:01:08.562177	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Rio Juruá--Bauana Ecological Field Station	L1931706	H	-5.4386200	-67.2865800	2007-12-02		obsr419927	S21203725	Historical	P62	EBIRD					0		0	1	0		with Andy Whitaker		
URN:CornellLabOfOrnithology:EBIRD:OBS247878775	2020-05-30 09:27:42	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-10-31	06:05:00	obsr412230	S18054455	Traveling	P22	EBIRD_CAN	720	17.000		2	1		0	1	0		with Sansão (local guide). Birds recorded during morning and afternoon. Morning: trilha da Madeirinha on the right bank of the Madeirinha river. Afternoon: river trip downstream on the Roosevelt to see Perneta, an impressive Black Caiman which comes for handouts. Light rain prior to departure (from 04h30 to 05h50), and again in mid-afternoon (15h15 to 16h25).	tape recorded on Madeirinha trail	
URN:CornellLabOfOrnithology:EBIRD:OBS870730495	2020-02-26 15:40:07	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt (-8.4943, -60.9623)	L10615329	P	-8.4943000	-60.9623000	2008-10-31		obsr412230	S65119102	Historical	P62	EBIRD					0		1	1	0		Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Pousada Rio Roosevelt (-8.4943, -60.9623).		
URN:CornellLabOfOrnithology:EBIRD:OBS251925437	2020-09-03 10:17:20	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-04	05:30:00	obsr412230	S18297644	Incidental	P20	EBIRD				2	1		0	1	0		with Sansão (local guide). Left by 05h30 for the Trilha do Ouro, on the left bank of the Roosevelt at the head of the Cachoeira da Gloria. Very hot and humid, and things were mostly quiet but it was still quite productive overall -- back a little earlier than other days (to the lodge by 12h00). After lunch I had a sit-in waiting for the weather to decide one way or the other. The rain held off, so I ventured onto the trail I dubbed "5k". Back by 18h00.	common by voice	
URN:CornellLabOfOrnithology:EBIRD:OBS251151248	2020-09-03 10:20:36	12309	species	Kawall's Parrot	Amazona kawalli			X				Brazil	BR	Amazonas	BR-AM							Pousada Rio Roosevelt	L2802116	H	-8.4942050	-60.9621497	2008-11-01	05:35:00	obsr412230	S18252886	Traveling	P22	EBIRD_CAN	745	15.000		2	1		0	1	0		with Sansão (local guide). Left at 05h35 for the Perneta trail, roughly 20 minutes downstream from the pousada on the right/east bank of the Roosevelt. The trail is about 1.5 km total and it makes a loop through wonderful vine and heliconia forest. We birded here until mid-day, stopping briefly at a saleiro on the way back. After lunch, left again at 15h35 for the Jacamin trail a short ways downstream on the right bank. We cut this trail short since it looked like it was going to rain, and spent the final 45 minutes of light checking out the scrubby rock and sand-bars.	HO	
